Model design id,Date of installation,Departure - DAS ID,Expected service life,Additional information,Access code,Location text,End chainage,End date,Illuminated,Manufacturer,Material,Owner of inventory item,Passively safe,Product name/id,Section,Start chainage,Start date,TSRGD diagram number,Type,Easting,Cross section position,Northing,Current maintenance contract,Currently maintained by,Supplier external reference id,System id,Civil 3D element id,Arup reference ID
HMPNB-67,15/07/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,468519.94,,259147.902,,,,,568263,IT_SM:IT_SM-M:M1-LK03-NB-RTS-BOL-BOL09
HMPNB-68,15/07/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,468510.937,,259152.094,,,,,568266,IT_SM:IT_SM-M:M1-LK03-NB-RTS-BOL-BOL10
HMPNB-69,15/07/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,468501.786,,259156.254,,,,,568269,IT_SM:IT_SM-M:M1-LK03-NB-RTS-BOL-BOL11
HMPSB-1,15/07/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,467478.48,,259536.911,,,,,760198,IT_SM:IT_SM-M:M1-J16-SB-RTS-BOL-BOL01
HMPSB-2,15/07/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,467487.524,,259532.974,,,,,760201,IT_SM:IT_SM-M:M1-J16-SB-RTS-BOL-BOL02
HMPSB-3,15/07/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,467496.627,,259528.738,,,,,760204,IT_SM:IT_SM-M:M1-J16-SB-RTS-BOL-BOL03
HMPSB-58,15/07/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,468616.68,,259155.984,,,,,568257,IT_SM:IT_SM-M:M1-LK03-SB-RTS-BOL-BOL01
HMPSB-59,15/07/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,468625.699,,259151.917,,,,,568254,IT_SM:IT_SM-M:M1-LK03-SB-RTS-BOL-BOL02
HMPSB-60,15/07/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,468634.85,,259147.825,,,,,568251,IT_SM:IT_SM-M:M1-LK03-SB-RTS-BOL-BOL03
HMPSB-4,15/07/2022,,,,,,,,NO,GLASDON VERGEMASTER,OTHER,,YES,HAZARD MARKER POST,,,,561,SELF RIGHTING,469251.875,,258943.578,,,,,568248,IT_SM:IT_SM-M:M1-LK03-SB-RTS-BOL-BOL04
